action_type,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_zone_area,game_date,opponent,shot_id
Pullup Jump shot,33.8963,110,148,-118.1598,4,1,0,2014-15,23,18,,Right Side Center(RC),2015-01-13,MIA,4647
Jump Shot,33.9643,39,80,-118.2308,9,3,0,2001-02,26,8,0.0,Center(C),2002-01-19,SAS,21565
Jump Shot,33.9213,81,123,-118.1888,11,2,0,2009-10,24,14,0.0,Right Side(R),2010-01-22,NYK,22381
Driving Dunk Shot,34.0443,0,0,-118.2698,8,3,0,2009-10,0,0,1.0,Center(C),2010-01-06,LAC,22960
Jump Shot,33.7623,12,282,-118.2578,1,4,0,2008-09,3,28,0.0,Center(C),2008-12-14,MIN,950
Jump Shot,34.0553,188,-11,-118.0818,6,4,0,2001-02,34,18,,Right Side(R),2002-01-23,LAC,24570
Jump Shot,33.8863,-90,158,-118.3598,0,2,1,2007-08,1,18,,Left Side Center(LC),2008-05-11,UTA,23952
Jump Shot,33.9343,-84,110,-118.3538,7,3,0,2000-01,24,13,0.0,Left Side(L),2000-11-07,HOU,5675
Jump Shot,33.8963,103,148,-118.1668,10,3,0,2006-07,53,18,0.0,Right Side Center(RC),2006-11-17,TOR,10260
Jump Shot,33.8863,-112,158,-118.3818,0,1,1,2007-08,45,19,1.0,Left Side Center(LC),2008-04-23,DEN,15004
Jump Shot,33.9393,-164,105,-118.4338,9,3,0,2010-11,2,19,0.0,Left Side(L),2011-01-02,MEM,23628
Slam Dunk Shot,34.0443,0,0,-118.2698,6,1,0,1999-00,34,0,1.0,Center(C),2000-03-06,LAC,11420
Jump Shot,33.8143,111,230,-118.1588,6,4,0,2008-09,28,25,0.0,Right Side Center(RC),2008-11-14,DET,25370
Jump Shot,33.9093,163,135,-118.1068,6,1,0,2006-07,52,21,0.0,Right Side Center(RC),2006-12-02,LAC,21606
Layup Shot,34.0443,-4,0,-118.2738,5,4,0,2010-11,52,0,0.0,Center(C),2011-02-07,MEM,12240
Jump Shot,33.9233,-214,121,-118.4838,1,3,1,1999-00,56,24,,Left Side Center(LC),2000-05-05,SAC,29080
Jump Shot,33.9063,75,138,-118.1948,11,3,0,2011-12,14,15,0.0,Center(C),2012-01-06,GSW,16706
Jump Shot,33.9483,33,96,-118.2368,0,1,0,1999-00,22,10,0.0,Center(C),2000-03-20,MIA,22219
Jump Shot,33.9023,81,142,-118.1888,5,3,1,2008-09,17,16,0.0,Right Side Center(RC),2009-04-23,UTA,16559
Jump Shot,33.9023,12,142,-118.2578,6,3,0,2012-13,28,14,,Center(C),2013-03-22,WAS,8218
Jump Bank Shot,33.9213,19,123,-118.2508,9,1,0,2011-12,31,12,0.0,Center(C),2012-01-03,HOU,21269
Jump Shot,33.9293,-136,115,-118.4058,7,3,1,2005-06,32,17,1.0,Left Side Center(LC),2006-04-26,PHX,18012
Jump Bank Shot,34.0113,-92,33,-118.3618,10,2,0,2005-06,30,9,1.0,Left Side(L),2005-11-20,CHI,25400
Jump Shot,33.9273,87,117,-118.1828,9,3,1,2007-08,20,14,1.0,Right Side(R),2008-05-16,UTA,12823
Driving Layup Shot,34.0443,0,0,-118.2698,8,2,0,2000-01,40,0,1.0,Center(C),2000-11-05,LAC,7255
Jump Shot,34.0213,-224,23,-118.4938,6,4,0,2012-13,30,22,1.0,Left Side(L),2013-01-20,TOR,20202
Fadeaway Jump Shot,33.9393,18,105,-118.2518,2,3,0,2014-15,56,10,0.0,Center(C),2014-10-29,PHX,20167
Running Layup Shot,34.0433,24,1,-118.2458,5,4,0,2011-12,54,2,1.0,Center(C),2012-01-28,MIL,4360
Running Jump Shot,33.9763,-63,68,-118.3328,11,2,0,1998-99,32,9,0.0,Left Side(L),1999-03-21,ORL,26861
Turnaround Fadeaway shot,34.0183,127,26,-118.1428,3,3,0,2015-16,18,12,,Right Side(R),2016-02-19,SAS,11731
Jump Shot,34.0443,41,0,-118.2288,9,4,0,2006-07,53,4,0.0,Center(C),2007-03-09,PHI,28121
Jump Shot,33.8673,-139,177,-118.4088,5,3,0,1999-00,57,22,1.0,Left Side Center(LC),2000-04-18,DAL,20258
Jump Shot,33.9153,144,129,-118.1258,7,1,0,2001-02,35,19,,Right Side Center(RC),2002-03-12,CHA,20002
Jump Shot,33.8553,-154,189,-118.4238,5,1,0,2006-07,23,24,0.0,Left Side Center(LC),2006-11-24,UTA,21914
Jump Shot,33.8963,67,148,-118.2028,0,2,0,2013-14,2,16,0.0,Right Side Center(RC),2013-12-08,TOR,30217
Jump Shot,33.8883,70,156,-118.1998,4,2,0,2012-13,43,17,0.0,Right Side Center(RC),2012-12-09,UTA,14498
Layup Shot,34.0443,0,0,-118.2698,6,1,0,2003-04,27,0,0.0,Center(C),2003-12-12,DAL,15438
Jump Shot,33.7293,111,315,-118.1588,0,5,0,1997-98,1,33,0.0,Right Side Center(RC),1998-02-13,SEA,11884
Fadeaway Jump Shot,33.9723,84,72,-118.1858,4,3,1,2009-10,32,11,1.0,Right Side(R),2010-05-25,PHX,21288
Jump Shot,33.7753,-30,269,-118.2998,5,3,0,2009-10,27,27,,Center(C),2010-01-06,LAC,23009
Turnaround Jump Shot,33.9213,110,123,-118.1598,7,1,0,2014-15,54,16,0.0,Right Side Center(RC),2014-12-15,IND,20353
Fadeaway Jump Shot,34.0623,153,-18,-118.1168,9,1,0,2005-06,53,15,1.0,Right Side(R),2005-11-09,MIN,6394
Jump Shot,33.9643,160,80,-118.1098,2,1,1,2009-10,18,17,0.0,Right Side(R),2010-06-15,BOS,5121
Jump Shot,33.8533,-161,191,-118.4308,11,3,0,2002-03,26,24,0.0,Left Side Center(LC),2003-04-10,SAC,20575
Jump Shot,33.9833,4,61,-118.2658,3,5,0,2010-11,25,6,0.0,Center(C),2011-04-13,SAC,5240
Jump Shot,33.8613,89,183,-118.1808,2,2,0,2009-10,58,20,0.0,Right Side Center(RC),2009-12-26,SAC,2505
Fadeaway Jump Shot,33.8633,-131,181,-118.4008,0,4,0,2005-06,0,22,0.0,Left Side Center(LC),2005-11-02,DEN,10372
Jump Shot,34.0333,154,11,-118.1158,10,3,1,2008-09,11,15,1.0,Right Side(R),2009-05-06,HOU,11365
Turnaround Jump Shot,33.9263,-8,118,-118.2778,10,1,0,2003-04,41,11,0.0,Center(C),2004-04-01,HOU,7392
Jump Shot,33.8283,135,216,-118.1348,3,3,0,2012-13,42,25,0.0,Right Side Center(RC),2013-03-08,TOR,19705
Jump Shot,33.8713,99,173,-118.1708,0,3,0,2012-13,1,19,1.0,Right Side Center(RC),2013-01-15,MIL,8955
Jump Shot,33.8083,-50,236,-118.3198,9,1,0,2000-01,34,24,0.0,Center(C),2001-01-03,UTA,16495
Jump Shot,33.8573,39,187,-118.2308,6,4,0,2006-07,26,19,0.0,Center(C),2007-01-10,HOU,1418
Jump Shot,33.9243,136,120,-118.1338,11,3,1,2001-02,26,18,0.0,Right Side Center(RC),2002-05-14,SAS,15187
Jump Shot,33.9833,151,61,-118.1188,7,1,0,2005-06,32,16,1.0,Right Side(R),2005-11-02,DEN,10947
Driving Layup Shot,34.0443,0,0,-118.2698,0,3,0,1997-98,39,0,1.0,Center(C),1998-03-11,POR,11392
Jump Shot,33.9003,-153,144,-118.4228,5,3,1,2001-02,0,21,,Left Side Center(LC),2002-04-21,POR,18859
Layup Shot,34.0443,0,0,-118.2698,8,3,1,2007-08,14,0,0.0,Center(C),2008-06-10,BOS,4078
Jump Shot,33.9323,181,112,-118.0888,0,1,0,2012-13,1,21,0.0,Right Side(R),2013-01-13,CLE,27762
Running Jump Shot,34.0133,46,31,-118.2238,2,4,1,2002-03,43,5,0.0,Center(C),2003-05-13,SAS,6561
Jump Shot,33.9733,-224,71,-118.4938,2,2,1,2008-09,42,23,1.0,Left Side(L),2009-05-19,DEN,12522
Jump Shot,33.8223,-138,222,-118.4078,5,1,0,2005-06,41,26,,Left Side Center(LC),2006-01-31,NYK,24304
Tip Shot,34.0443,0,0,-118.2698,6,1,0,2001-02,39,0,1.0,Center(C),2002-01-06,TOR,8438
Driving Dunk Shot,34.0443,0,0,-118.2698,4,3,0,2001-02,19,0,1.0,Center(C),2001-12-21,MEM,14611
Jump Shot,33.8463,-122,198,-118.3918,11,4,0,2000-01,39,23,0.0,Left Side Center(LC),2000-12-13,POR,18562
Jump Shot,33.8423,-163,202,-118.4328,0,4,0,2004-05,27,25,0.0,Left Side Center(LC),2005-03-18,IND,19385
Jump Shot,33.9073,-157,137,-118.4268,3,1,0,2000-01,30,20,1.0,Left Side Center(LC),2000-11-28,IND,16480
Jump Shot,33.8813,106,163,-118.1638,0,2,0,2000-01,50,19,0.0,Right Side Center(RC),2001-02-04,SAC,2612
Jump Shot,33.8473,161,197,-118.1088,9,1,0,2006-07,53,25,1.0,Right Side Center(RC),2007-01-09,MEM,4156
Driving Layup Shot,34.0443,0,0,-118.2698,6,4,0,1997-98,8,0,,Center(C),1998-02-01,CHI,12673
Jump Shot,33.8893,161,155,-118.1088,5,3,0,2006-07,3,22,,Right Side Center(RC),2006-11-26,NJN,10650
Jump Shot,33.7943,56,250,-118.2138,6,1,0,2002-03,27,25,0.0,Center(C),2003-01-17,HOU,5704
Turnaround Fadeaway shot,34.0423,-65,2,-118.3348,5,1,0,2015-16,39,6,1.0,Center(C),2015-10-28,MIN,23731
Turnaround Jump Shot,34.0253,121,19,-118.1488,6,1,0,2009-10,16,12,1.0,Right Side(R),2010-02-05,DEN,30066
Jump Shot,33.8603,94,184,-118.1758,10,2,0,2006-07,31,20,0.0,Right Side Center(RC),2006-11-30,UTA,8852
Pullup Jump shot,33.9823,82,62,-118.1878,3,1,0,2015-16,42,10,1.0,Right Side(R),2016-03-25,DEN,26602
Driving Dunk Shot,34.0443,0,0,-118.2698,0,3,0,2000-01,37,0,1.0,Center(C),2000-11-14,DEN,4792
Layup Shot,34.0443,0,0,-118.2698,11,2,0,2003-04,28,0,0.0,Center(C),2004-02-29,NJN,27488
Jump Shot,34.0583,230,-14,-118.0398,0,1,1,2009-10,11,23,0.0,Right Side(R),2010-06-17,BOS,320
Jump Shot,33.8293,149,215,-118.1208,0,5,0,2006-07,43,26,1.0,Right Side Center(RC),2007-03-06,MIN,9433
Jump Shot,33.8143,103,230,-118.1668,5,4,0,2011-12,21,25,0.0,Right Side Center(RC),2012-03-29,OKC,19876
Jump Shot,33.7923,62,252,-118.2078,7,3,0,2005-06,41,25,1.0,Center(C),2006-02-13,UTA,10568
Jump Shot,33.8953,143,149,-118.1268,2,3,0,1998-99,58,20,,Right Side Center(RC),1999-03-22,DAL,15390
Fadeaway Jump Shot,34.0033,114,41,-118.1558,1,4,0,2010-11,15,12,,Right Side(R),2010-12-31,PHI,14103
Turnaround Fadeaway shot,33.9203,32,124,-118.2378,5,2,0,2009-10,43,12,0.0,Center(C),2009-11-04,HOU,5914
Jump Shot,33.8143,111,230,-118.1588,8,4,0,2011-12,0,25,0.0,Right Side Center(RC),2012-01-08,MEM,21770
Jump Shot,34.0183,92,26,-118.1778,7,1,0,2009-10,22,9,0.0,Right Side(R),2010-01-21,CLE,27569
Jump Shot,33.8843,-191,160,-118.4608,11,1,0,2002-03,44,24,1.0,Left Side Center(LC),2003-02-21,POR,27922
Jump Shot,33.8813,-143,163,-118.4128,4,1,0,2001-02,44,21,0.0,Left Side Center(LC),2002-02-24,NYK,7233
Step Back Jump shot,33.9833,125,61,-118.1448,1,5,0,2007-08,40,13,1.0,Right Side(R),2008-01-14,SEA,16715
Jump Shot,34.0453,199,-1,-118.0708,10,3,0,2005-06,28,19,0.0,Right Side(R),2005-12-04,CHA,9979
Jump Shot,33.9243,161,120,-118.1088,5,2,0,2005-06,48,20,0.0,Right Side Center(RC),2006-03-20,BOS,9005
Hook Shot,34.0223,28,22,-118.2418,9,3,0,2007-08,40,3,1.0,Center(C),2007-12-25,PHX,10171
Jump Shot,33.8743,145,170,-118.1248,9,3,0,2008-09,10,22,1.0,Right Side Center(RC),2008-12-23,NOH,5791
Jump Shot,33.8413,-16,203,-118.2858,4,3,1,2000-01,16,20,0.0,Center(C),2001-05-06,SAC,16998
Jump Shot,33.8523,92,192,-118.1778,4,1,0,2012-13,46,21,1.0,Right Side Center(RC),2012-11-30,DEN,30459
Jump Shot,33.8993,80,145,-118.1898,3,5,0,2006-07,50,16,0.0,Right Side Center(RC),2006-12-29,CHA,22067
Step Back Jump shot,33.9363,-185,108,-118.4548,2,4,0,2010-11,50,21,1.0,Left Side(L),2011-04-06,GSW,5807
Jump Shot,33.9033,-26,141,-118.2958,10,4,0,2002-03,18,14,1.0,Center(C),2003-04-03,DAL,6159
Jump Shot,33.7923,80,252,-118.1898,0,3,0,2008-09,28,26,,Center(C),2009-02-20,NOH,1861
Jump Shot,34.0183,170,26,-118.0998,7,1,0,2012-13,28,17,0.0,Right Side(R),2013-03-06,NOH,15977
Jump Shot,33.9343,200,110,-118.0698,4,4,0,2004-05,20,22,1.0,Right Side(R),2005-03-12,CHA,8599
Jump Shot,33.9723,58,72,-118.2118,0,4,1,2008-09,45,9,1.0,Right Side(R),2009-05-21,DEN,5431
Driving Dunk Shot,34.0253,2,19,-118.2678,3,3,0,2012-13,33,1,1.0,Center(C),2013-03-08,TOR,10303
Fadeaway Jump Shot,34.0053,-149,39,-118.4188,5,4,1,2009-10,25,15,0.0,Left Side(L),2010-04-22,OKC,20833
Jump Shot,33.8893,13,155,-118.2568,10,3,0,2007-08,40,15,0.0,Center(C),2007-11-21,MIL,26813
Turnaround Jump Shot,34.0083,-133,36,-118.4028,9,4,1,2008-09,6,13,0.0,Left Side(L),2009-06-14,ORL,18337
Jump Shot,33.8583,-103,186,-118.3728,11,1,0,2003-04,11,21,1.0,Left Side Center(LC),2003-11-16,MIA,25270
Jump Shot,33.8403,-141,204,-118.4108,0,3,0,2005-06,0,24,0.0,Left Side Center(LC),2005-12-25,MIA,3465
Jump Shot,33.8653,-192,179,-118.4618,7,1,0,1998-99,7,26,0.0,Left Side Center(LC),1999-03-29,VAN,27258
Jump Shot,33.8033,-150,241,-118.4198,0,2,0,2009-10,0,28,0.0,Left Side Center(LC),2010-04-02,UTA,25212
Jump Shot,33.9073,-2,137,-118.2718,5,1,0,2002-03,8,13,0.0,Center(C),2002-12-15,ORL,12530
Jump Shot,34.0313,123,13,-118.1468,0,1,0,2001-02,22,12,0.0,Right Side(R),2002-03-01,IND,7875
Pullup Jump shot,33.8763,-108,168,-118.3778,4,4,0,2008-09,38,19,0.0,Left Side Center(LC),2009-04-10,POR,6126
Jump Shot,33.9903,159,54,-118.1108,1,4,0,2007-08,33,16,0.0,Right Side(R),2008-03-16,HOU,21027
Jump Shot,33.8073,120,237,-118.1498,5,2,0,2015-16,32,26,,Right Side Center(RC),2016-04-05,LAC,17663
Fadeaway Jump Shot,33.9073,163,137,-118.1068,8,3,0,2004-05,44,21,1.0,Right Side Center(RC),2004-11-13,HOU,29614
Hook Shot,33.9943,-7,50,-118.2768,3,3,0,2010-11,10,5,0.0,Center(C),2010-11-05,TOR,23203
Jump Shot,33.8353,142,209,-118.1278,4,1,0,2001-02,25,25,0.0,Right Side Center(RC),2002-04-05,BOS,27584
Jump Shot,34.0443,142,0,-118.1278,9,4,1,2001-02,34,14,0.0,Right Side(R),2002-05-24,SAC,13865
Jump Shot,34.0343,68,10,-118.2018,6,2,0,1996-97,35,6,0.0,Center(C),1997-02-02,WAS,14591
Driving Layup Shot,34.0443,0,0,-118.2698,1,4,0,2007-08,42,0,,Center(C),2007-12-05,DEN,11211
Jump Shot,33.8503,-73,194,-118.3428,2,2,0,2011-12,5,20,1.0,Left Side Center(LC),2012-02-04,UTA,6058
Jump Shot,34.0063,143,38,-118.1268,10,2,0,1998-99,6,14,1.0,Right Side(R),1999-03-14,SAC,23533
Running Jump Shot,33.9763,125,68,-118.1448,3,1,1,2000-01,52,14,1.0,Right Side(R),2001-06-08,PHI,12935
Reverse Slam Dunk Shot,34.0213,0,23,-118.2698,6,3,0,2011-12,1,2,1.0,Center(C),2012-01-08,MEM,21784
Jump Shot,33.7893,99,255,-118.1708,10,4,1,2008-09,10,27,1.0,Right Side Center(RC),2009-05-19,DEN,22471
Jump Shot,33.8303,-48,214,-118.3178,1,1,0,2010-11,51,21,,Center(C),2010-12-14,WAS,30233
Jump Shot,34.0093,227,35,-118.0428,0,3,1,2002-03,1,22,1.0,Right Side(R),2003-05-13,SAS,10185
Reverse Layup Shot,34.0443,0,0,-118.2698,8,1,0,2005-06,46,0,,Center(C),2006-04-11,GSW,18498
Jump Shot,33.9323,155,112,-118.1148,10,2,0,2000-01,47,19,,Right Side(R),2001-04-15,POR,52
Jump Shot,33.8583,-33,186,-118.3028,4,1,0,2001-02,30,18,1.0,Center(C),2002-03-06,UTA,16477
Jump Shot,34.0273,-166,17,-118.4358,4,4,0,2010-11,7,16,1.0,Left Side(L),2011-03-25,LAC,24396
Jump Shot,34.0473,153,-3,-118.1168,9,2,0,2002-03,35,15,0.0,Right Side(R),2002-12-20,PHI,9924
Jump Shot,33.8583,-116,186,-118.3858,6,3,0,2008-09,5,21,0.0,Left Side Center(LC),2009-02-17,ATL,24957
Fadeaway Jump Shot,33.9843,-15,60,-118.2848,5,4,1,2011-12,7,6,0.0,Center(C),2012-05-06,DEN,4330
Layup Shot,34.0443,0,0,-118.2698,10,2,0,1996-97,36,0,,Center(C),1997-01-14,VAN,19261
Driving Slam Dunk Shot,34.0333,9,11,-118.2608,11,3,0,2012-13,25,1,1.0,Center(C),2013-02-05,BKN,18787
Jump Shot,34.0693,191,-25,-118.0788,10,1,1,2001-02,30,19,1.0,Right Side(R),2002-04-21,POR,29211
Jump Shot,34.0653,-159,-21,-118.4288,2,3,0,2007-08,49,16,,Left Side(L),2007-11-18,CHI,10538
Jump Shot,33.8343,-138,210,-118.4078,0,4,0,2006-07,4,25,1.0,Left Side Center(LC),2007-04-08,PHX,11278
Turnaround Jump Shot,34.0133,-24,31,-118.2938,1,4,0,2009-10,29,3,1.0,Center(C),2009-11-06,MEM,10511
Driving Layup Shot,34.0443,0,0,-118.2698,7,1,0,2001-02,29,0,1.0,Center(C),2001-11-04,UTA,7445
Jump Shot,33.9043,-202,140,-118.4718,3,1,0,2008-09,15,24,0.0,Left Side Center(LC),2009-03-24,OKC,22244
Tip Shot,34.0443,0,0,-118.2698,4,4,1,1997-98,29,0,0.0,Center(C),1998-05-16,UTA,8555
Jump Shot,33.9013,115,143,-118.1548,2,2,0,1999-00,4,18,0.0,Right Side Center(RC),2000-02-09,MIN,10221
Jump Shot,33.8433,149,201,-118.1208,1,1,0,1998-99,47,25,1.0,Right Side Center(RC),1999-04-09,MIN,21531
Jump Shot,33.8423,158,202,-118.1118,0,3,1,2006-07,29,25,,Right Side Center(RC),2007-04-22,PHX,13455
Jump Shot,33.8993,160,145,-118.1098,10,3,0,2008-09,2,21,0.0,Right Side Center(RC),2008-12-14,MIN,22352
Jump Shot,33.8503,167,194,-118.1028,6,1,1,2007-08,40,25,0.0,Right Side Center(RC),2008-05-23,SAS,27389
Jump Shot,33.9963,-106,48,-118.3758,3,3,0,1997-98,35,11,1.0,Left Side(L),1998-02-24,MIL,5341
Driving Finger Roll Layup Shot,34.0443,0,0,-118.2698,0,4,0,2009-10,31,0,1.0,Center(C),2010-04-11,POR,20839
Jump Shot,33.9723,-57,72,-118.3268,4,3,1,1999-00,40,9,0.0,Left Side(L),2000-06-07,IND,7972
Jump Shot,33.7943,67,250,-118.2028,6,4,0,2005-06,13,25,1.0,Center(C),2006-01-11,POR,15448
Fadeaway Bank shot,34.0133,77,31,-118.1928,2,3,0,2011-12,1,8,1.0,Right Side(R),2012-04-22,OKC,3870
Layup Shot,34.0443,0,0,-118.2698,3,1,0,2002-03,4,0,0.0,Center(C),2003-01-31,SAC,21065
Jump Bank Shot,34.0133,0,31,-118.2698,6,4,0,2015-16,47,3,,Center(C),2016-04-03,BOS,26676
Jump Shot,33.9663,-190,78,-118.4598,11,1,0,2011-12,45,20,1.0,Left Side(L),2012-04-03,NJN,18931
Jump Shot,33.8473,-56,197,-118.3258,10,1,1,2011-12,17,20,,Center(C),2012-05-10,DEN,2594
Driving Dunk Shot,34.0443,0,0,-118.2698,9,1,0,2004-05,51,0,1.0,Center(C),2005-03-24,DEN,8485
Jump Shot,33.9063,83,138,-118.1868,11,3,0,2008-09,42,16,1.0,Right Side Center(RC),2008-12-14,MIN,12713
Jump Shot,33.7993,85,245,-118.1848,0,3,0,2002-03,50,25,1.0,Right Side Center(RC),2003-02-11,DEN,11185
Driving Layup Shot,34.0443,0,0,-118.2698,4,2,0,2005-06,40,0,1.0,Center(C),2006-04-16,PHX,6051
Layup Shot,34.0443,0,0,-118.2698,5,1,0,2006-07,51,0,0.0,Center(C),2006-12-25,MIA,29491
Jump Shot,33.8303,28,214,-118.2418,0,2,0,2005-06,4,21,,Center(C),2006-02-15,ATL,8167
Jump Shot,33.9143,16,130,-118.2538,9,3,0,2004-05,42,13,0.0,Center(C),2005-04-11,PHX,13337
Jump Shot,34.0373,232,7,-118.0378,5,3,0,2004-05,0,23,0.0,Right Side(R),2005-04-08,SEA,9704
Turnaround Jump Shot,33.9893,-111,55,-118.3808,0,1,0,2009-10,41,12,1.0,Left Side(L),2009-11-13,DEN,14299
Jump Shot,34.0143,119,30,-118.1508,8,3,0,2009-10,15,12,0.0,Right Side(R),2009-12-11,MIN,9706
Jump Shot,34.0273,-63,17,-118.3328,5,3,1,2001-02,20,6,1.0,Center(C),2002-05-20,SAC,10266
Driving Floating Jump Shot,33.9773,1,67,-118.2688,4,4,0,2015-16,19,6,0.0,Center(C),2016-02-08,IND,26723
Fadeaway Jump Shot,34.0333,136,11,-118.1338,4,3,0,2008-09,44,13,0.0,Right Side(R),2009-01-30,MIN,7637
Jump Shot,34.0593,127,-15,-118.1428,5,4,0,2015-16,39,12,0.0,Right Side(R),2015-10-28,MIN,16958
Jump Shot,33.8633,158,181,-118.1118,6,2,1,1998-99,29,24,0.0,Right Side Center(RC),1999-05-13,HOU,25487
Jump Shot,33.8963,110,148,-118.1598,11,3,0,2002-03,20,18,0.0,Right Side Center(RC),2002-12-13,NOH,10565
Jump Shot,33.9703,23,74,-118.2468,10,3,0,2009-10,36,7,0.0,Center(C),2010-01-05,HOU,22217
Jump Shot,33.9343,-100,110,-118.3698,2,2,0,2014-15,59,14,0.0,Left Side(L),2014-12-09,SAC,13204
Jump Bank Shot,34.0223,-116,22,-118.3858,7,3,0,2011-12,48,11,1.0,Left Side(L),2012-04-20,SAS,13411
Jump Shot,33.9613,20,83,-118.2498,0,1,0,2008-09,27,8,0.0,Center(C),2009-01-25,SAS,5397
Jump Shot,33.8253,153,219,-118.1168,10,4,1,2006-07,9,26,0.0,Right Side Center(RC),2007-04-26,PHX,19546
Running Bank shot,34.0033,70,41,-118.1998,5,3,1,2009-10,58,8,1.0,Right Side(R),2010-04-24,OKC,15596
Driving Layup Shot,34.0293,18,15,-118.2518,0,3,0,2002-03,5,2,1.0,Center(C),2003-02-04,IND,16453
Jump Shot,33.8773,184,167,-118.0858,11,4,0,2009-10,42,24,0.0,Right Side Center(RC),2009-12-28,PHX,29292
Jump Shot,34.0443,39,0,-118.2308,10,3,0,2007-08,14,3,1.0,Center(C),2007-11-21,MIL,17578
Jump Shot,33.9513,167,93,-118.1028,9,3,0,2000-01,1,19,,Right Side(R),2000-12-22,DAL,3000
Jump Shot,33.8223,-27,222,-118.2968,4,3,0,1999-00,4,22,0.0,Center(C),1999-12-29,PHX,4747
Jump Shot,33.9833,-106,61,-118.3758,10,2,0,1999-00,24,12,0.0,Left Side(L),2000-03-22,GSW,16947
Tip Shot,34.0443,0,0,-118.2698,9,1,0,2008-09,1,0,0.0,Center(C),2008-11-01,DEN,8533
Jump Shot,33.8303,-158,214,-118.4278,4,4,0,2013-14,39,26,,Left Side Center(LC),2013-12-10,PHX,25058
Jump Shot,33.9683,187,76,-118.0828,0,4,0,2002-03,24,20,1.0,Right Side(R),2003-02-14,SAS,26071
Jump Shot,33.7923,-52,252,-118.3218,4,4,1,2008-09,5,25,0.0,Center(C),2009-05-25,DEN,15766
Layup Shot,34.0443,0,0,-118.2698,7,4,0,1999-00,18,0,0.0,Center(C),2000-03-24,PHX,5692
Layup Shot,34.0443,0,0,-118.2698,5,4,1,2007-08,3,0,0.0,Center(C),2008-06-12,BOS,30198
Jump Shot,33.9063,100,138,-118.1698,9,3,0,2011-12,55,17,,Right Side Center(RC),2012-01-19,MIA,18043
Jump Shot,33.8473,149,197,-118.1208,4,2,1,2009-10,16,24,,Right Side Center(RC),2010-06-06,BOS,3018
Jump Shot,33.8213,-96,223,-118.3658,4,3,0,2015-16,28,24,0.0,Left Side Center(LC),2016-02-19,SAS,19975
Jump Shot,33.9733,-46,71,-118.3158,6,4,0,2008-09,49,8,0.0,Left Side(L),2009-02-22,MIN,15286
Jump Shot,33.8053,33,239,-118.2368,1,3,0,1999-00,30,24,1.0,Center(C),2000-02-23,CLE,18738
Turnaround Fadeaway shot,34.0473,-142,-3,-118.4118,3,3,0,2010-11,24,14,0.0,Left Side(L),2010-12-21,MIL,4076
Jump Shot,33.7993,-64,245,-118.3338,9,4,0,2002-03,27,25,0.0,Center(C),2003-02-25,LAC,16643
Jump Shot,33.8653,-74,179,-118.3438,6,4,0,1999-00,42,19,1.0,Left Side Center(LC),2000-01-24,UTA,16361
Jump Shot,33.8603,78,184,-118.1918,0,1,1,2008-09,0,19,,Right Side Center(RC),2009-06-09,ORL,9665
Fadeaway Jump Shot,34.0343,148,10,-118.1218,1,1,0,2006-07,47,14,,Right Side(R),2007-04-18,SAC,23274
Jump Shot,33.9123,-97,132,-118.3668,3,2,1,2011-12,48,16,1.0,Left Side Center(LC),2012-05-08,DEN,10308
Jump Shot,33.9033,-112,141,-118.3818,1,1,0,2004-05,4,18,0.0,Left Side Center(LC),2004-11-21,CHI,12962
Jump Shot,33.9533,-181,91,-118.4508,1,3,1,2003-04,31,20,,Left Side(L),2004-05-13,SAS,25387
Jump Shot,33.9443,62,100,-118.2078,0,3,0,2002-03,28,11,0.0,Right Side(R),2002-12-01,MIN,12443
Jump Shot,33.8583,68,186,-118.2018,3,1,0,1998-99,58,19,,Right Side Center(RC),1999-02-07,UTA,30242
Jump Shot,33.9583,64,86,-118.2058,2,3,0,2008-09,45,10,0.0,Right Side(R),2009-03-21,CHI,24713
Jump Shot,33.9143,207,130,-118.0628,11,2,0,2004-05,25,24,0.0,Right Side Center(RC),2005-04-08,SEA,3496
Jump Shot,33.9273,235,117,-118.0348,0,3,0,2002-03,57,26,0.0,Right Side Center(RC),2002-11-15,GSW,15313
Jump Shot,33.9013,-79,143,-118.3488,2,1,0,2005-06,53,16,1.0,Left Side Center(LC),2005-11-27,NJN,27012
Jump Shot,34.0653,163,-21,-118.1068,5,1,0,2003-04,30,16,,Right Side(R),2003-11-12,TOR,14714
Floating Jump shot,34.0183,26,26,-118.2438,8,4,0,2012-13,42,3,,Center(C),2012-11-02,LAC,1486
Fadeaway Jump Shot,33.9143,56,130,-118.2138,3,3,1,2003-04,52,14,0.0,Center(C),2004-05-02,SAS,25966
Jump Shot,33.8503,108,194,-118.1618,11,3,1,2009-10,38,22,0.0,Right Side Center(RC),2010-06-08,BOS,20883
Dunk Shot,34.0443,0,0,-118.2698,5,3,0,1997-98,18,0,0.0,Center(C),1997-12-20,CHA,4268
Jump Shot,33.9403,123,104,-118.1468,10,2,1,1999-00,55,16,0.0,Right Side Center(RC),2000-04-30,SAC,17060
Driving Layup Shot,34.0443,0,0,-118.2698,1,4,0,1998-99,28,0,1.0,Center(C),1999-04-19,VAN,16408
